https://airsoftshop.cz/cm-cm-680f	"CM CM.680F"	4 871,00 Kč	111 – 120 m/s	Ver. 3	Plast	Černá-Šedá	201 – 300 mm	Plast
https://airsoftshop.cz/asg-arsenal-slr105-ele	"ASG Arsenal SLR105 - ele."	1 824,00 Kč	Do 80 m/s	Ostatní	Plast	Černá-Šedá	Do 200 mm	Plast
https://airsoftshop.cz/ics-mar-fixed-stock-wood	"ICS MAR Fixed Stock Wood"	11 488,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/bolt-akm	"BOLT AKM"	13 812,00 Kč	111 – 120 m/s	Ver. 3	Kov	Černá-Šedá	201 – 300 mm	Plast
https://airsoftshop.cz/lct-lck-16	"LCT LCK-16"	14 934,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	301 – 400 mm	Plast
https://airsoftshop.cz/ics-cxp-ark	"ICS CXP-ARK"	11 706,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	301 – 400 mm	Kov
https://airsoftshop.cz/ics-cxp-ark-od	"ICS CXP-ARK OD"	11 627,00 Kč	131 – 140 m/s	Ver. 3	Kov	-	301 – 400 mm	Kov
https://airsoftshop.cz/aps-ask210	"APS ASK210"	7 716,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	201 – 300 mm	Kov
https://airsoftshop.cz/aps-ask211	"APS ASK211"	6 814,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	Do 200 mm	Kov
https://airsoftshop.cz/evolution-e-104	"Evolution E-104"	6 224,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/aps-ask209	"APS ASK209"	5 576,00 Kč	101 – 110 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Kov
https://airsoftshop.cz/aps-ask206	"APS ASK206"	4 690,00 Kč	101 – 110 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Kov
https://airsoftshop.cz/aps-ask205	"APS ASK205"	5 018,00 Kč	111 – 120 m/s	Ver. 3	Kov	Černá-Šedá	201 – 300 mm	Kov
https://airsoftshop.cz/aps-ask204p	"APS ASK204P"	4 981,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Kov
https://airsoftshop.cz/aps-ask204	"APS ASK204"	4 719,00 Kč	111 – 120 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Kov
https://airsoftshop.cz/aps-ask201	"APS ASK201"	5 356,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	401 – 500 mm	Kov
https://airsoftshop.cz/jg-w47-beta-specnaz-celokov	"JG W47 Beta Specnaz celokov"	4 500,00 Kč	121 – 130 m/s	Ver. 3	Kov	Černá-Šedá	201 – 300 mm	Plast
https://airsoftshop.cz/src-sr74u-drevo-gen-ii-kufr	"SRC SR74U dřevo gen.II + kufr"	6 900,00 Kč	91 - 100 m/s	Ver. 3	Kov	Černá-Šedá	201 – 300 mm	Kov
https://airsoftshop.cz/lct-zk-104	"LCT ZK-104"	16 669,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	301 – 400 mm	Plast
https://airsoftshop.cz/lct-zks-74m	"LCT ZKS-74M"	17 452,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-stk-74-ebb	"LCT STK-74 EBB"	13 739,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-lck-74-ebb	"LCT LCK-74 EBB"	14 514,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-lts-keymod-13-5-ebb	"LCT LTS-Keymod 13.5 EBB"	12 525,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-tx-m-ebb	"LCT TX-M EBB"	13 739,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-lck-74mn-ebb	"LCT LCK-74MN EBB"	12 393,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-lcks-74m-ebb	"LCT LCKS-74M EBB"	12 525,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-tx-5-ebb	"LCT TX-5 EBB"	12 525,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	301 – 400 mm	Plast
https://airsoftshop.cz/lct-lck-12-ebb	"LCT LCK-12 EBB"	16 351,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-lck-15-ebb	"LCT LCK-15 EBB"	16 269,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	401 – 500 mm	Plast
https://airsoftshop.cz/lct-rpks74mn-ebb	"LCT RPKS74MN EBB"	14 514,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	501 – 600 mm	Plast
https://airsoftshop.cz/lct-rpk-ebb	"LCT RPK EBB"	15 652,00 Kč	121 – 130 m/s	Ver. 3	Ocel	Černá-Šedá	501 – 600 mm	Plast
